LOCATION_ID,NAME,LOCATION_TYPE,LOCATION_CODE,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,COUNTRY,LATITUDE,LONGITUDE,PHONE,EMAIL,OPERATING_HOURS,IS_ACTIVE,IS_PICKUP_ENABLED,CREATED_AT
87b613ef-230b-47a7-b8cb-28aa5a99d029,New York Warehouse 1,warehouse,WANY01,2298 Main Street,,New York,NY,59481,US,40.77251550421667,-74.00058689889255,+18876145955,warehouse.ny1@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,False,2025-05-05 15:26:59
775f6785-8da6-402b-a8c0-6189572ed8e7,Los Angeles Warehouse 2,warehouse,WACA02,5170 Main Street,,Los Angeles,CA,80053,US,34.14304717075537,-118.31649504228665,+14855011158,warehouse.ca2@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,False,2025-06-10 15:43:59
21e1cdc0-716b-4735-ba8c-5f7bdd7e3cf8,Chicago Warehouse 3,warehouse,WAIL03,9754 Main Street,Suite 504,Chicago,IL,80803,US,41.95335023491375,-87.60165318368354,+18378564820,warehouse.il3@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,False,2025-02-27 04:39:59
7ce89085-23eb-4667-a8c2-ae88db38ac74,Houston Warehouse 4,warehouse,WATX04,8660 Main Street,,Houston,TX,91755,US,29.725878754255362,-95.44235463959824,+15158005854,warehouse.tx4@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,False,2025-02-24 03:51:59
9c14f868-16d5-4ebf-8750-fd6093aa9e0f,Phoenix Warehouse 5,warehouse,WAAZ05,8341 Main Street,Suite 520,Phoenix,AZ,75997,US,33.38002474471606,-112.13325069098707,+15791317006,warehouse.az5@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,False,2025-02-07 03:50:59
40ee3e93-9d8a-4223-971f-f4048795e974,Philadelphia Store 1,store,STPA01,7171 Main Street,,Philadelphia,PA,31361,US,39.887420005418605,-75.1348573499245,+15138668955,store.pa1@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,True,2025-02-19 20:11:59
870cb85d-8c5b-4aee-b4e8-5484dc0b2b71,San Antonio Store 2,store,STTX02,1664 Main Street,,San Antonio,TX,57395,US,29.512635055032028,-98.44683549029385,+12817081412,store.tx2@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,True,2025-06-08 09:33:59
c05e0443-65fd-427c-b30e-3ac52bf80251,San Diego Store 3,store,STCA03,3958 Main Street,,San Diego,CA,14257,US,32.66001769946801,-117.0673954831675,+14325031847,store.ca3@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,True,2025-01-11 04:45:59
6702fe7c-e2e5-4d82-96e9-53ff0b9e2ad8,Dallas Store 4,store,STTX04,3409 Main Street,Suite 572,Dallas,TX,45235,US,32.71709400960417,-96.73597977208503,+15489436894,store.tx4@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,True,2025-03-10 00:54:59
99b789c4-6c09-4c6a-b0ce-c5f02a4c2e08,San Jose Store 5,store,STCA05,6646 Main Street,Suite 379,San Jose,CA,82069,US,37.3442796413144,-121.85507219261804,+15455849586,store.ca5@agentcommerce.com,"{
  ""mon-fri"": ""9:00-21:00"",
  ""sat"": ""10:00-20:00"",
  ""sun"": ""11:00-18:00""
}",True,True,2025-03-04 10:20:59
