VARIANT_ID,PRODUCT_ID,SKU,SHADE_NAME,SHADE_CODE,COLOR_HEX,COLOR_LAB,SIZE,SIZE_UNIT,PRICE_MODIFIER,IS_AVAILABLE,IS_DEFAULT,CREATED_AT,DISPLAY_ORDER
259e0134-d33e-4de8-a95e-bf5a0606d722,77a744db-f2c9-465c-84a4-733b21b8da24,TAR-LIP-0001-PLU,Plum,01,#DDA0DD,,10ml,ml,0.00,True,True,2025-10-11 04:35:54,0
338fd344-dc77-4445-bb14-4223367c560e,77a744db-f2c9-465c-84a4-733b21b8da24,TAR-LIP-0001-CHO,Chocolate,02,#D2691E,,10ml,ml,0.00,True,False,2025-10-11 04:35:54,1
49f37941-c09f-4974-ac76-f338dcbcbe24,77a744db-f2c9-465c-84a4-733b21b8da24,TAR-LIP-0001-FIR,Firebrick,03,#B22222,,10ml,ml,0.00,False,False,2025-10-11 04:35:54,2
5ebf1779-743f-4cdd-b166-fd5263587257,77a744db-f2c9-465c-84a4-733b21b8da24,TAR-LIP-0001-HOT,Hot Pink,04,#FF69B4,,10ml,ml,0.00,True,False,2025-10-11 04:35:54,3
5b03fcee-40e3-4e9e-95d6-7792433ac79a,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,MAY-LIP-0002-SAD,Saddle Brown,01,#8B4513,,10ml,g,0.00,True,True,2025-06-08 11:06:54,0
e1d084af-4164-494e-bf84-2ba1b86396e8,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,MAY-LIP-0002-PEA,Peach,02,#FFDAB9,,10ml,g,0.00,True,False,2025-06-08 11:06:54,1
bd9a2143-612e-4753-82c0-98a7a2f2c868,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,MAY-LIP-0002-COR,Coral Orange,03,#FF7F50,,10ml,g,0.00,True,False,2025-06-08 11:06:54,2
f35d532a-bdf5-44e7-a9f0-2c48b9817379,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,MAY-LIP-0002-SIE,Sienna,04,#A0522D,,10ml,g,0.00,True,False,2025-06-08 11:06:54,3
ec7059b6-e3f9-40b8-8b6c-5dbbeafd2fef,faf4d30d-559e-41ec-b67a-e5cd32069fbc,CHA-LIP-0003-HOT,Hot Pink,01,#FF69B4,,5ml,ml,0.00,True,True,2025-04-01 00:49:54,0
5f09cda6-daa6-43b9-bfd6-668b309b3d17,faf4d30d-559e-41ec-b67a-e5cd32069fbc,CHA-LIP-0003-FIR,Firebrick,02,#B22222,,5ml,ml,0.00,True,False,2025-04-01 00:49:54,1
beb51814-2ca8-45cb-aee9-0b08ec1d9380,faf4d30d-559e-41ec-b67a-e5cd32069fbc,CHA-LIP-0003-RUB,Ruby Red,03,#C41E3A,,5ml,ml,0.00,True,False,2025-04-01 00:49:54,2
d255f3d8-ec46-4144-a190-410200c126ac,faf4d30d-559e-41ec-b67a-e5cd32069fbc,CHA-LIP-0003-PLU,Plum,04,#DDA0DD,,5ml,ml,0.00,True,False,2025-04-01 00:49:54,3
a5101d6f-f414-45c0-8f1a-f40accf34f6e,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,LAU-LIP-0004-HOT,Hot Pink,01,#FF69B4,,50ml,ml,0.00,True,True,2025-08-10 02:24:54,0
af4a1c85-944c-4552-a65c-73a11e008db5,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,LAU-LIP-0004-CHO,Chocolate,02,#D2691E,,50ml,ml,0.00,True,False,2025-08-10 02:24:54,1
53b22d0f-120d-4d0c-b240-53f49e7da296,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,LAU-LIP-0004-BRO,Brown,03,#A52A2A,,50ml,ml,0.00,False,False,2025-08-10 02:24:54,2
a065c569-5963-4748-9dd4-ca895c943e6a,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,LAU-LIP-0004-CRI,Crimson,04,#DC143C,,50ml,ml,0.00,True,False,2025-08-10 02:24:54,3
428d90ef-360d-46c3-a7ed-153c06ee753c,906dc344-db0d-461b-9f99-9a9ddedc6c55,LAU-LIP-0005-SAD,Saddle Brown,01,#8B4513,,30ml,g,0.00,True,True,2025-02-12 13:50:54,0
98c9d1b2-ee84-48e8-bbaa-5ab579577e62,906dc344-db0d-461b-9f99-9a9ddedc6c55,LAU-LIP-0005-FIR,Firebrick,02,#B22222,,30ml,g,0.00,False,False,2025-02-12 13:50:54,1
45a5396c-cd6c-4094-9dbd-d497e8178104,906dc344-db0d-461b-9f99-9a9ddedc6c55,LAU-LIP-0005-DAR,Dark Red,03,#8B0000,,30ml,g,0.00,True,False,2025-02-12 13:50:54,2
2f33e10e-16e5-480a-8084-7e10f8a28614,906dc344-db0d-461b-9f99-9a9ddedc6c55,LAU-LIP-0005-PLU,Plum,04,#DDA0DD,,30ml,g,0.00,False,False,2025-02-12 13:50:54,3
dc0e2f86-a715-4871-8d35-4301dc8e5a25,c9e22254-ef93-429a-9bba-8939d75e80f2,SUM-LIP-0006-DAR,Dark Red,01,#8B0000,,30ml,ml,0.00,True,True,2025-02-28 03:03:54,0
c4fb6991-b170-40ca-8628-747cd96735fa,c9e22254-ef93-429a-9bba-8939d75e80f2,SUM-LIP-0006-LIG,Light Pink,02,#FFB6C1,,30ml,ml,0.00,True,False,2025-02-28 03:03:54,1
60ba48ee-b7ac-42cb-be0d-cc5ceaad7f7e,c9e22254-ef93-429a-9bba-8939d75e80f2,SUM-LIP-0006-HOT,Hot Pink,03,#FF69B4,,30ml,ml,0.00,True,False,2025-02-28 03:03:54,2
6d2d27aa-0ede-4c8c-bc35-e49f16b8ba1c,c9e22254-ef93-429a-9bba-8939d75e80f2,SUM-LIP-0006-SIE,Sienna,04,#A0522D,,30ml,ml,0.00,True,False,2025-02-28 03:03:54,3
39048e58-cbfd-4314-8f1f-ba889c4ab414,42945b9a-a394-40ea-8313-703880379eb9,THE-LIP-0007-WHE,Wheat,01,#F5DEB3,,10ml,g,0.00,True,True,2025-02-05 23:47:54,0
f7b9a268-f3e9-45e0-a1b0-9772176763da,42945b9a-a394-40ea-8313-703880379eb9,THE-LIP-0007-CRI,Crimson,02,#DC143C,,10ml,g,0.00,True,False,2025-02-05 23:47:54,1
14b9828a-d7e3-4e8a-9e3d-1610c042f0ce,42945b9a-a394-40ea-8313-703880379eb9,THE-LIP-0007-SAD,Saddle Brown,03,#8B4513,,10ml,g,0.00,True,False,2025-02-05 23:47:54,2
afab185a-9ba3-43b6-aeec-cf2c91cc674d,42945b9a-a394-40ea-8313-703880379eb9,THE-LIP-0007-LIG,Light Pink,04,#FFB6C1,,10ml,g,0.00,True,False,2025-02-05 23:47:54,3
9504cd89-8b55-4c3d-a805-0958be7a8515,bc7b2942-4814-443f-9f83-ae30887b7ea7,SUM-LIP-0008-RUB,Ruby Red,01,#C41E3A,,50ml,g,0.00,False,True,2025-05-31 12:40:54,0
d4a79cb7-1ffe-4b9f-88c5-d3505e5ea761,bc7b2942-4814-443f-9f83-ae30887b7ea7,SUM-LIP-0008-PIN,Pink,02,#FFC0CB,,50ml,g,0.00,True,False,2025-05-31 12:40:54,1
8606f5de-bf25-4d4a-be24-faae57091bb6,bc7b2942-4814-443f-9f83-ae30887b7ea7,SUM-LIP-0008-SAD,Saddle Brown,03,#8B4513,,50ml,g,0.00,True,False,2025-05-31 12:40:54,2
