SESSION_ID,CUSTOMER_ID,STATUS,SUBTOTAL_CENTS,TAX_CENTS,SHIPPING_CENTS,DISCOUNT_CENTS,TOTAL_CENTS,CURRENCY,APPLIED_PROMO_CODES,APPLIED_LOYALTY_POINTS,FULFILLMENT_TYPE,SHIPPING_ADDRESS,BILLING_ADDRESS,SHIPPING_METHOD_ID,IS_GIFT,GIFT_MESSAGE,GIFT_RECIPIENT_EMAIL,IS_VALID,VALIDATION_MESSAGE,IDEMPOTENCY_KEY,CREATED_AT,UPDATED_AT,EXPIRES_AT,COMPLETED_AT
00161b9d-9d38-4002-833d-e3496809a567,913bfc1d-1a5e-47d9-88f8-b12894dfdcaf,completed,30076,2406,0,0,32482,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_1bb7f98e-11a6-47,2025-11-10 06:41:35,2025-12-17 21:44:35,,2025-12-09 15:33:35
0041e7ac-23b4-4737-9174-a01d52a70a09,a533845d-30ca-4524-af3f-af76f9cfc5bc,active,24741,1979,0,0,26720,USD,,0,,,,,False,,,True,,idem_f56f5b44-c0ab-4b,2025-12-19 05:22:03,2025-12-16 16:27:03,,
004be36b-41df-4dee-8fbb-7db63b270a09,4a6974a4-ffa5-4ec2-ba1f-dbaad0638830,abandoned,20682,1654,0,0,22336,USD,,0,,,,,False,,,True,,idem_18e6703b-9c04-43,2025-10-30 17:50:03,2025-11-22 09:03:03,,
006a615c-d5c5-4b93-95e2-7111b360376a,1b547698-afd8-486c-8b01-3dca9fa28e32,completed,28872,2309,999,0,32180,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",fc3b652f-fb05-448c-8d1b-708597c8549d,False,,,True,,idem_0ad68c6d-e19c-43,2025-12-13 01:07:30,2025-12-13 22:30:30,,2025-11-27 22:37:30
0073e723-c01d-416a-afda-9ad1a64f3731,,expired,41312,3304,0,0,44616,USD,,0,,,,,False,,,True,,idem_2c0a87d5-38f2-45,2025-12-15 19:59:37,2025-12-09 11:34:37,,
00945c89-9871-4cda-9aee-7c36069145ae,9fb47823-fe19-475d-96c8-a97a6568fde3,completed,32184,2574,999,4827,30930,USD,"[""SAVE10""]",0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_b84cdbfb-02fc-40,2025-12-19 19:13:41,2025-11-21 17:29:41,,2025-11-19 09:28:41
0098f140-a704-4718-9f1b-1015cd8b7aff,1ca79999-3ed4-4983-8333-ee38a4652ebd,completed,3513,281,999,526,4267,USD,"[""SAVE10""]",0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",b83f4c8f-2d98-4be2-97df-c91559dd1cd3,False,,,True,,idem_8d22c954-5ad1-49,2025-11-22 05:29:31,2025-11-25 23:37:31,,2025-11-22 15:05:31
00e043f1-168d-43d4-844d-47e49427a972,d0ae92ca-18ae-4465-8df7-d61752c267cb,completed,35923,2873,599,0,39395,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",7d610892-6f6b-4d72-b876-1e25f1c9789f,False,,,True,,idem_f50a1ee2-6970-44,2025-11-15 12:21:29,2025-11-30 22:05:29,,2025-11-22 03:19:29
013e818b-b94c-4bd9-84b9-a4a2ff3a29fd,718357cf-1827-47eb-8733-3ed933bc1fc3,completed,24455,1956,999,0,27410,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",fc3b652f-fb05-448c-8d1b-708597c8549d,False,,,True,,idem_99c2d45a-1766-46,2025-11-14 20:10:37,2025-11-25 18:12:37,,2025-12-15 14:00:37
01613a69-aac9-4626-a684-75461493b92c,e64406f7-94c8-4fd7-938f-24e6076d1178,completed,14509,1160,999,0,16668,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",7d610892-6f6b-4d72-b876-1e25f1c9789f,False,,,True,,idem_d0f552dc-3ead-43,2025-12-02 11:28:12,2025-12-06 14:13:12,,2025-12-11 18:09:12
019c3de2-acc7-4c79-ab34-d7b8fdc90cf9,,completed,32500,2600,599,0,35699,USD,,0,pickup,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",290da9ba-aaf2-43c0-af81-1f4d6de2ed21,False,,,True,,idem_e6c49ebd-5fd5-41,2025-11-24 12:41:21,2025-12-05 23:55:21,,2025-11-25 16:19:21
01dfdf71-f205-492c-95c7-d57588b84a30,750a0540-2872-4206-8729-039a5280e1b7,abandoned,5853,468,0,0,6321,USD,,0,,,,,False,,,True,,idem_566e573f-a24c-40,2025-11-03 06:41:02,2025-11-24 06:34:02,,
02060d52-c156-49e1-996e-ae0e4039f3a2,938fc730-8dd5-4fd9-8f98-39e50461fa6e,active,33292,2663,0,0,35955,USD,,0,,,,,False,,,True,,idem_048c564c-828b-4f,2025-11-25 06:31:30,2025-11-24 10:15:30,,
0231e39f-e095-4a35-8e6c-c1d2851ab41e,95b1c866-e911-4f18-a985-fe6562e07448,completed,18864,1509,999,0,21372,USD,,0,pickup,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",290da9ba-aaf2-43c0-af81-1f4d6de2ed21,False,,,True,,idem_863bad55-8bda-49,2025-12-14 10:44:19,2025-11-29 23:47:19,,2025-12-15 02:27:19
023b4a08-26b8-466d-b83e-9ab75e56325c,e60c96ad-466f-4ed7-aa7a-e33cd020b5c6,expired,13894,1111,0,0,15005,USD,,0,,,,,False,,,True,,idem_2f8f7019-bfea-41,2025-11-26 11:42:10,2025-12-10 00:31:10,,
02577cc4-ce84-40f9-9e92-e8662e45136e,,expired,32660,2612,0,4899,30373,USD,"[""SAVE10""]",0,,,,,False,,,True,,idem_e7e49694-1a7b-42,2025-10-23 21:38:15,2025-12-07 22:22:15,,
02b791ba-43d8-43ee-aeba-63e75186314c,1940f029-aadf-4a90-a662-6c02da6cb2e7,completed,16856,1348,599,0,18803,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_22feea66-53f3-47,2025-12-06 13:14:34,2025-11-29 08:38:34,,2025-11-20 06:05:34
02cb47a2-50be-4785-b60b-3968a7644d70,41ef61a4-14e4-4d62-94cc-d508b580bbf9,expired,31196,2495,0,3119,30572,USD,"[""SAVE10""]",0,,,,,False,,,True,,idem_73e78a36-7f2a-4f,2025-10-27 23:02:24,2025-12-12 16:43:24,,
02cd6b93-986c-44c0-867f-d57d1817172d,04844bb2-1b11-4e52-8f4c-2e4054c92dfa,expired,52840,4227,0,0,57067,USD,,0,,,,,False,,,True,,idem_9bbf5145-6dbe-48,2025-11-21 07:44:20,2025-11-22 00:24:20,,
02f32ceb-df4e-4ba4-a39a-44d734068696,ada12cb1-3c6c-4532-8d9f-5933448ac477,completed,33273,2661,0,0,35934,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",b83f4c8f-2d98-4be2-97df-c91559dd1cd3,False,,,True,,idem_e299d7a9-0464-41,2025-12-14 17:19:24,2025-11-25 21:00:24,,2025-12-18 03:57:24
02febe53-537c-400f-9392-85c29ba631e4,99c1f4e5-a7bd-45f1-89e5-f907bc7a01c5,completed,12138,971,599,0,13708,USD,,0,pickup,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",290da9ba-aaf2-43c0-af81-1f4d6de2ed21,False,,,True,,idem_a41b0eed-70d0-43,2025-11-03 15:46:37,2025-12-05 22:07:37,,2025-12-17 04:39:37
030177a1-1938-4d47-860e-748b8f54e594,cd55219f-f078-445c-8f7c-2389ed15ddbd,completed,27380,2190,599,0,30169,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",fc3b652f-fb05-448c-8d1b-708597c8549d,False,,,True,,idem_ec5b2ca6-8d5f-47,2025-10-20 01:58:42,2025-11-30 15:01:42,,2025-11-26 05:43:42
030888b5-14c4-4be1-91b2-523e3cab053c,,abandoned,22068,1765,0,0,23833,USD,,0,,,,,True,,,True,,idem_3ac7ff4d-c7f3-4d,2025-12-04 00:59:20,2025-12-13 01:55:20,,
0328c4e8-86e6-4550-95d4-d010f72abd44,,abandoned,29888,2391,0,5977,26302,USD,"[""SAVE10""]",0,,,,,False,,,True,,idem_df5307b8-96fe-40,2025-12-14 08:11:12,2025-12-07 18:29:12,,
03532d71-3fb1-403a-a0cd-d7cef0eef73f,7118fdeb-d541-496e-aaac-d495e54067c9,abandoned,10284,822,0,2056,9050,USD,"[""SAVE10""]",0,,,,,False,,,True,,idem_f8479586-f214-48,2025-11-18 21:21:26,2025-12-05 06:08:26,,
038baf3d-08fd-4e10-b5ef-1d054e475e5f,94d65ea9-2511-4247-934c-e42b091c065d,completed,18810,1504,0,0,20314,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_a455b3ef-3890-4e,2025-12-12 20:43:12,2025-12-17 23:16:12,,2025-12-02 19:07:12
03ed4564-dacc-4432-9c3f-391b4bbe9bd2,,abandoned,15641,1251,0,0,16892,USD,,0,,,,,False,,,True,,idem_a825436e-10f6-41,2025-12-08 18:22:18,2025-12-02 12:07:18,,
03edbb99-44cc-4e2c-8162-e0eacaf1059d,6be63a53-18da-46ce-8630-2b31cc1376fd,completed,11517,921,599,0,13037,USD,,0,pickup,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",290da9ba-aaf2-43c0-af81-1f4d6de2ed21,True,,,True,,idem_25153cb4-ffbd-42,2025-12-19 17:35:19,2025-12-10 10:01:19,,2025-12-06 11:13:19
0436642e-e8b9-4446-8d42-bfdf05ccd439,61e9d4eb-3d1b-49f4-acfd-19c5ff1e7205,completed,22907,1832,999,0,25738,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_72ce8b6d-8da1-42,2025-10-31 05:08:33,2025-12-08 04:21:33,,2025-12-15 03:59:33
045f5501-8642-400d-b675-5dac9443c5e7,655d0c45-f50f-4b12-a2a6-bdf8e6115754,abandoned,13816,1105,0,0,14921,USD,,0,,,,,False,,,True,,idem_190bc9d1-99ab-4d,2025-11-01 16:13:04,2025-12-13 04:02:04,,
0460bf43-b4a9-4d1a-8227-a201460ca205,f23c7278-18d7-411f-b04c-ee5b6021a03f,completed,12651,1012,599,1265,12997,USD,"[""SAVE10""]",0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",b83f4c8f-2d98-4be2-97df-c91559dd1cd3,True,,,True,,idem_e761802f-4859-46,2025-10-22 00:28:39,2025-12-10 21:17:39,,2025-11-23 15:42:39
0473b988-5970-4fe2-96a7-7e53673cf697,,abandoned,26132,2090,0,2613,25609,USD,"[""SAVE10""]",0,,,,,True,,,True,,idem_c2d8a343-2a36-4a,2025-11-01 21:12:40,2025-11-27 04:06:40,,
047fe88b-fa52-4114-8378-c4e5948eec7e,d076735c-bcb6-47fe-999f-ab0af2d985b8,completed,13646,1091,599,0,15336,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",fc3b652f-fb05-448c-8d1b-708597c8549d,False,,,True,,idem_dc309842-535b-41,2025-11-15 08:21:42,2025-11-21 23:20:42,,2025-12-18 15:25:42
04a1def2-9138-4627-a418-5a9f3faca02b,b323eb8e-e9a4-44ef-8617-d7813889a63e,completed,4780,382,0,0,5162,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",b83f4c8f-2d98-4be2-97df-c91559dd1cd3,False,,,True,,idem_da08f9a8-402c-4d,2025-12-07 11:31:20,2025-11-29 00:40:20,,2025-12-05 21:22:20
04a52aa0-94bf-400c-b30b-b544c3af63b3,f7ada185-1e3b-4656-ac0b-85fd3856c548,completed,29684,2374,599,0,32657,USD,,0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_79684cd4-56f3-44,2025-10-24 14:50:30,2025-11-21 00:12:30,,2025-11-28 16:44:30
04c0e4f2-f81d-4a5e-8867-8a3379476523,aea0dea9-c2fd-4f4e-9dd9-31d2f6d13a58,expired,32048,2563,0,0,34611,USD,,0,,,,,False,,,True,,idem_53fdc77b-f09d-4b,2025-12-03 22:40:25,2025-12-18 12:46:25,,
04c8716c-ecb0-4d4e-aa18-98d52115bf33,1928e651-f231-4bbc-98d7-5baec97c0d85,abandoned,13167,1053,0,1975,12245,USD,"[""SAVE10""]",0,,,,,False,,,True,,idem_7acc1142-5645-41,2025-11-16 17:17:30,2025-11-19 07:22:30,,
04f3596d-4f68-4e2b-a20b-4dc39f4457f5,b02fd9c3-8511-409c-9c48-abb0d24d299f,completed,4780,382,999,0,6161,USD,,0,pickup,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",290da9ba-aaf2-43c0-af81-1f4d6de2ed21,False,,,True,,idem_1f730fc2-ac19-49,2025-11-17 10:39:29,2025-12-06 10:39:29,,2025-12-09 03:04:29
04f3dc21-b40f-4518-9112-7dd02596c356,f3865d0f-5fef-4b16-b545-5df6dc05244b,completed,12398,991,599,1239,12749,USD,"[""SAVE10""]",0,shipping,"{""city"": ""New York"", ""state"": ""NY""}","{""city"": ""New York"", ""state"": ""NY""}",06548384-d82a-4802-b2ae-3fe87d250319,False,,,True,,idem_7c4fd3cf-124e-4b,2025-12-10 18:55:22,2025-12-06 10:57:22,,2025-12-17 17:39:22
05043c97-7e97-4429-842c-85d6b969a77a,,abandoned,24812,1984,0,0,26796,USD,,0,,,,,False,,,True,,idem_3111c8a3-e622-44,2025-11-09 12:26:29,2025-11-30 18:17:29,,
