HISTORY_ID,PRODUCT_ID,VARIANT_ID,PRICE,PREVIOUS_PRICE,EFFECTIVE_DATE,END_DATE,CHANGE_REASON,CREATED_AT
5ebfec1d-7fd9-4add-948d-219c1ed7ae09,77a744db-f2c9-465c-84a4-733b21b8da24,,55.75,55.75,2024-12-19,2025-01-23,regular,2024-12-19 15:29:54
8fc970f8-6113-4cea-9734-ec0615732fd0,77a744db-f2c9-465c-84a4-733b21b8da24,,55.75,55.75,2025-01-24,2025-02-28,promotion,2025-01-24 12:01:54
55236436-7e67-4bea-ae1f-cfb4fbfd9760,77a744db-f2c9-465c-84a4-733b21b8da24,,55.75,55.75,2025-03-01,2025-04-05,promotion,2025-03-01 06:02:54
fb17a4a9-10c2-4aca-932e-85de13dcaef9,77a744db-f2c9-465c-84a4-733b21b8da24,,52.99,55.75,2025-04-06,2025-05-11,seasonal,2025-04-06 10:55:54
fb140de4-8f7a-47e6-add1-94db6aa72173,77a744db-f2c9-465c-84a4-733b21b8da24,,52.99,52.99,2025-05-12,2025-06-16,cost_adjustment,2025-05-12 18:01:54
64b8b47b-2603-418b-a74f-be0ce6c1dc1e,77a744db-f2c9-465c-84a4-733b21b8da24,,46.58,52.99,2025-06-17,2025-07-22,regular,2025-06-17 14:53:54
c58dc783-d39c-4754-a0d4-81b89ebd4307,77a744db-f2c9-465c-84a4-733b21b8da24,,48.89,46.58,2025-07-23,2025-08-27,regular,2025-07-23 07:33:54
bd855c26-3a78-4e3a-8a4c-3659b931e23f,77a744db-f2c9-465c-84a4-733b21b8da24,,48.89,48.89,2025-08-28,2025-10-02,regular,2025-08-28 15:08:54
74192fd4-5198-4c43-9acb-9f7b4718db63,77a744db-f2c9-465c-84a4-733b21b8da24,,48.89,48.89,2025-10-03,2025-11-07,promotion,2025-10-03 18:25:54
05fd11b3-554d-40e9-bdca-8d5a94055e49,77a744db-f2c9-465c-84a4-733b21b8da24,,52.95,48.89,2025-11-08,,seasonal,2025-11-08 07:21:54
97f91116-1641-4ac0-beda-51c82f34a539,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,27.50,27.50,2024-12-19,2025-01-23,seasonal,2024-12-19 14:56:54
70fb9df1-b820-4705-b887-5866897eab13,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,27.50,27.50,2025-01-24,2025-02-28,promotion,2025-01-24 10:25:54
3f16c52a-2b72-40e8-9dab-b090dfa9fa97,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,27.50,27.50,2025-03-01,2025-04-05,regular,2025-03-01 04:43:54
db17dd7a-d95b-4490-8b76-c92bddc66af0,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,29.15,27.50,2025-04-06,2025-05-11,promotion,2025-04-06 19:08:54
3f08dac1-34b3-41ff-8bed-4b183e20f16e,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,29.15,29.15,2025-05-12,2025-06-16,promotion,2025-05-12 02:58:54
b09e4667-aa48-4366-b160-700f7103bb4f,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,31.55,29.15,2025-06-17,2025-07-22,cost_adjustment,2025-06-17 06:38:54
fe5f2dec-3b3f-4f81-b724-f4f5b3bec979,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,32.71,31.55,2025-07-23,2025-08-27,regular,2025-07-23 20:15:54
384d2769-0c96-40df-a90f-c45665f437a1,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,32.71,32.71,2025-08-28,2025-10-02,seasonal,2025-08-28 07:34:54
5ec27298-b239-4ff7-95de-6c74b5f7e838,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,28.44,32.71,2025-10-03,2025-11-07,cost_adjustment,2025-10-03 09:13:54
ae79dfa3-86ec-45c5-960a-653c24a66e31,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,28.44,28.44,2025-11-08,,regular,2025-11-08 04:20:54
57692a49-1783-4ba8-a00d-b0094a3444fa,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,29.06,29.06,2024-12-19,2025-01-23,cost_adjustment,2024-12-19 21:22:54
e74cbb73-1af5-4f62-8d8e-03ecb26945f9,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.03,29.06,2025-01-24,2025-02-28,cost_adjustment,2025-01-24 05:33:54
dc663a37-77f7-4769-9378-2e36cbb941f8,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.03,26.03,2025-03-01,2025-04-05,cost_adjustment,2025-03-01 22:44:54
cc264349-d77e-4023-a69d-4c26e8b08505,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.03,2025-04-06,2025-05-11,promotion,2025-04-06 18:41:54
af136811-39dc-4d05-a715-97568b698672,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.41,2025-05-12,2025-06-16,seasonal,2025-05-12 14:37:54
2dec0d6d-07d7-4f66-9540-49ac7866d5f6,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.41,2025-06-17,2025-07-22,seasonal,2025-06-17 03:51:54
ed6efced-a10d-49a0-86ec-d3e24dc1dedc,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.41,2025-07-23,2025-08-27,seasonal,2025-07-23 11:06:54
1fe92e68-a4c7-4fae-a9df-7c168488d134,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.41,2025-08-28,2025-10-02,regular,2025-08-28 20:38:54
db27d442-522e-450b-9787-438b6c2a3763,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.41,2025-10-03,2025-11-07,cost_adjustment,2025-10-03 08:45:54
1f62f25a-9ba9-4efc-a54e-b38f679919a6,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,26.41,26.41,2025-11-08,,regular,2025-11-08 00:11:54
b36e5c14-c765-4a1d-9e0c-1557caec439b,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,23.90,22.87,2024-12-19,2025-01-23,promotion,2024-12-19 23:09:54
9f397bab-e921-4e92-b56d-2bfbdb1ef53d,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,24.97,23.90,2025-01-24,2025-02-28,regular,2025-01-24 13:44:54
5791b362-f95c-4375-ba64-f00b03c8feea,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,24.97,24.97,2025-03-01,2025-04-05,promotion,2025-03-01 18:55:54
fc7f44e3-ce1e-4acd-8a56-9ad9868d156f,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,23.59,24.97,2025-04-06,2025-05-11,promotion,2025-04-06 22:33:54
a6b899c6-d1c0-4750-9b59-209ff9a08483,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,23.59,23.59,2025-05-12,2025-06-16,regular,2025-05-12 11:37:54
98979a8e-9f27-4d54-b7a9-3d4b3db5f640,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,23.59,23.59,2025-06-17,2025-07-22,cost_adjustment,2025-06-16 23:39:54
fe1fa653-909d-44d6-ab17-5d041a406843,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,23.59,23.59,2025-07-23,2025-08-27,cost_adjustment,2025-07-23 19:13:54
4353df4e-22a8-4830-8f2b-127bcfa851ac,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,20.87,23.59,2025-08-28,2025-10-02,cost_adjustment,2025-08-28 19:08:54
98e662f7-da63-48f9-8d86-752d569694a1,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,18.25,20.87,2025-10-03,2025-11-07,regular,2025-10-03 01:24:54
ea50909a-0246-43a0-8125-8675b6424e0d,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,,18.25,18.25,2025-11-08,,seasonal,2025-11-08 21:55:54
903becb5-623d-46c5-9f47-034023edd9b5,906dc344-db0d-461b-9f99-9a9ddedc6c55,,42.43,38.27,2024-12-19,2025-01-23,cost_adjustment,2024-12-19 13:38:54
52405803-07bc-4c1d-bb36-05a94c3023fb,906dc344-db0d-461b-9f99-9a9ddedc6c55,,44.56,42.43,2025-01-24,2025-02-28,seasonal,2025-01-24 17:25:54
1d70bfae-1ae9-4aab-8cd1-3ed30913772a,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.68,44.56,2025-03-01,2025-04-05,seasonal,2025-03-01 21:30:54
110ad951-4d9d-4b5c-b068-760e06f1131a,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.68,2025-04-06,2025-05-11,regular,2025-04-06 15:02:54
fc38bb72-85bd-4e9a-b2d3-5bed37e8fbc4,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.18,2025-05-12,2025-06-16,seasonal,2025-05-12 11:33:54
972936cc-01e3-47e9-a075-9f098e72edeb,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.18,2025-06-17,2025-07-22,seasonal,2025-06-17 07:03:54
4e0e1b92-ab7b-4e3c-b9d7-24c870fbdb19,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.18,2025-07-23,2025-08-27,promotion,2025-07-23 14:24:54
f3b191dd-4220-4ea1-9d41-587c952bcc5f,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.18,2025-08-28,2025-10-02,cost_adjustment,2025-08-28 22:43:54
e7b0967c-c3f5-43d6-bf16-9fb6cef189fc,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.18,2025-10-03,2025-11-07,promotion,2025-10-03 01:25:54
4b9804fa-75f7-4d8f-8fbd-6e02b4bc456d,906dc344-db0d-461b-9f99-9a9ddedc6c55,,45.18,45.18,2025-11-08,,promotion,2025-11-08 03:13:54
8db6adc5-dd2a-418b-a71f-1ecad10395f5,c9e22254-ef93-429a-9bba-8939d75e80f2,,61.73,63.49,2024-12-19,2025-01-23,cost_adjustment,2024-12-19 02:49:54
dbd3fc71-7bea-4b5a-af0e-e0a6af246fc3,c9e22254-ef93-429a-9bba-8939d75e80f2,,61.73,61.73,2025-01-24,2025-02-28,seasonal,2025-01-24 08:50:54
06f60b4e-f37e-44e9-9949-ee64a09ea276,c9e22254-ef93-429a-9bba-8939d75e80f2,,61.73,61.73,2025-03-01,2025-04-05,cost_adjustment,2025-02-28 23:39:54
00b2c8c8-20e3-479c-bc25-8d28697ea050,c9e22254-ef93-429a-9bba-8939d75e80f2,,61.73,61.73,2025-04-06,2025-05-11,regular,2025-04-06 01:41:54
a099b0d8-bd57-4700-aa1d-cd12d0540826,c9e22254-ef93-429a-9bba-8939d75e80f2,,56.16,61.73,2025-05-12,2025-06-16,cost_adjustment,2025-05-12 07:58:54
26413873-5dd5-41b6-acb2-221d426365ae,c9e22254-ef93-429a-9bba-8939d75e80f2,,56.16,56.16,2025-06-17,2025-07-22,cost_adjustment,2025-06-17 06:28:54
b3c40e80-e869-4da6-976f-3666ea4316f9,c9e22254-ef93-429a-9bba-8939d75e80f2,,56.16,56.16,2025-07-23,2025-08-27,promotion,2025-07-23 06:54:54
f32d7823-0604-4fcf-b6dc-03d5a779031d,c9e22254-ef93-429a-9bba-8939d75e80f2,,62.57,56.16,2025-08-28,2025-10-02,regular,2025-08-28 07:42:54
d8dc59b1-37f7-47c2-a116-da02e9b24ce1,c9e22254-ef93-429a-9bba-8939d75e80f2,,62.57,62.57,2025-10-03,2025-11-07,seasonal,2025-10-03 03:19:54
737ddc1f-69b0-4148-b314-f9f88d9d016c,c9e22254-ef93-429a-9bba-8939d75e80f2,,62.57,62.57,2025-11-08,,seasonal,2025-11-08 05:08:54
4b4f0beb-9c51-4aad-b982-8b97f0941dd1,42945b9a-a394-40ea-8313-703880379eb9,,32.85,32.85,2024-12-19,2025-01-23,regular,2024-12-19 10:01:54
ff540b29-b6b1-4851-8565-5c8c84ef8aa0,42945b9a-a394-40ea-8313-703880379eb9,,32.85,32.85,2025-01-24,2025-02-28,promotion,2025-01-24 16:39:54
78aaa33c-c149-447a-bf84-6b1c0244031a,42945b9a-a394-40ea-8313-703880379eb9,,30.43,32.85,2025-03-01,2025-04-05,seasonal,2025-03-01 05:04:54
e384f023-c33b-4e3c-85a2-069e3fb86a7e,42945b9a-a394-40ea-8313-703880379eb9,,29.70,30.43,2025-04-06,2025-05-11,cost_adjustment,2025-04-06 20:47:54
74896c80-52bf-47bd-92c9-a92103f40d51,42945b9a-a394-40ea-8313-703880379eb9,,27.07,29.70,2025-05-12,2025-06-16,cost_adjustment,2025-05-12 21:47:54
eaf23422-d770-4958-b835-89102412ce0c,42945b9a-a394-40ea-8313-703880379eb9,,26.68,27.07,2025-06-17,2025-07-22,promotion,2025-06-17 23:27:54
