ITEM_ID,SESSION_ID,PRODUCT_ID,VARIANT_ID,QUANTITY,UNIT_PRICE_CENTS,SUBTOTAL_CENTS,PRODUCT_NAME,VARIANT_NAME,PRODUCT_IMAGE_URL,ADDED_AT,UPDATED_AT
0000f2ee-cfed-4b68-befd-ae33a6403ea2,9e5d7230-8570-424b-9178-7ec2f2ff523a,835e39dd-f99c-4c43-b27a-c36d7b995300,4bf2affb-af2a-4af5-9a5f-7662ee9d9109,3,4619,13857,Huda Beauty Luxe Lip Balm,Orange Red,@PRODUCTS.PRODUCT_MEDIA/swatches/HUD-LIP-0050-ORA.png,2025-12-10 03:53:41,
00020903-48e8-490d-8429-df6850374ac5,1d4dcc3d-04dd-4150-8ecc-e3d0ab277d83,7a4497c4-59ce-4557-9728-1f62d1f8ef61,d56803f5-3b41-4d75-b243-7b81e18904f3,2,2020,4040,Laura Mercier Pro Lipgloss,Chocolate,@PRODUCTS.PRODUCT_MEDIA/swatches/LAU-LIP-0079-CHO.png,2025-12-01 08:14:05,
00074783-2057-4188-8501-09a32ed52964,b5927e17-9f39-4bee-a46a-b0a911845278,3d7d90a3-419f-4511-83dd-b897f1d0c348,f89dd277-9c6e-4ecc-a173-2f8c03b55393,3,4375,13125,Milk Makeup Radiant Lip Balm,Plum,@PRODUCTS.PRODUCT_MEDIA/swatches/MIL-LIP-0015-PLU.png,2025-11-25 12:06:39,
0015f5c9-b85a-455a-8515-6c95c515da31,20193999-6fe6-48d5-a151-de61ecbfeba5,85060e32-ea20-439c-ad05-b95404ca3663,0f65b102-4f08-4334-b064-44fd32697fa1,1,3989,3989,Maybelline Ultra Lipstick,Dark Red,@PRODUCTS.PRODUCT_MEDIA/swatches/MAY-LIP-0124-DAR.png,2025-12-13 23:12:30,
00218437-8531-45d8-8866-48881b8de99a,75a6a8bf-68ff-4104-af90-373be7065f9b,2493468a-f1b1-4528-a5cc-101ceec82a32,991356d0-6911-49ff-8963-6a5adcb159e0,3,3428,10284,Clinique Pro Lipstick,Crimson,@PRODUCTS.PRODUCT_MEDIA/swatches/CLI-LIP-0168-CRI.png,2025-12-13 13:12:34,
002c9eb6-81cb-4fca-9dc7-d34ecbb30a1b,c9b7e95b-e950-496b-9e22-65d9636a81b4,f9872875-efaf-497e-a000-36e083574363,1415f8f2-ec5c-491d-8fd9-67ea23ed34d0,3,3130,9390,Tarte Radiant Lipstick,Peru,@PRODUCTS.PRODUCT_MEDIA/swatches/TAR-LIP-0171-PER.png,2025-12-09 17:05:08,
0058fc84-11aa-419f-aed1-978aeb3aa55c,b475c73f-ff29-49e3-ae39-fb0406748055,3d4bbaad-d216-4476-94c2-fe763def1744,61d558e2-186b-410e-a660-dac72a7f40b1,2,3145,6290,Huda Beauty Essential Lip Balm,Burgundy,@PRODUCTS.PRODUCT_MEDIA/swatches/HUD-LIP-0163-BUR.png,2025-12-03 21:46:19,
005e7d5a-5b3b-4b13-a9c2-968f83efb853,7af6e5ae-bd03-4b4b-ac08-a23dfd8c5b4e,fd6cc252-438f-46d3-96fd-ced25e930164,e5f59d79-c4a3-4cb0-a483-c45af4f72991,1,3492,3492,Tarte Ultra Lip Balm,Light Pink,@PRODUCTS.PRODUCT_MEDIA/swatches/TAR-LIP-0072-LIG.png,2025-12-17 00:24:22,
006dbb28-5b0d-4e35-9a9b-8e3163361533,00e043f1-168d-43d4-844d-47e49427a972,4f77e461-bf5d-46ca-8256-d732fc7028c1,b67a4cf1-d5f2-4a36-b01c-834ee9ac0187,3,2919,8757,Clinique Essential Lipgloss,Wheat,@PRODUCTS.PRODUCT_MEDIA/swatches/CLI-LIP-0140-WHE.png,2025-11-24 14:51:29,
0092424c-4e6d-424d-9e55-c803db51d9a2,05c0b555-8cd2-49df-92a2-5868f4a9d3c6,c82c25c2-b414-4ad7-b507-0467da448a5a,2d5e76ba-aba5-4e8a-9ee5-a0401f5ac1ad,1,1623,1623,Urban Decay Essential Lip Balm,Firebrick,@PRODUCTS.PRODUCT_MEDIA/swatches/URB-LIP-0104-FIR.png,2025-12-16 20:12:33,
