INGREDIENT_ID,PRODUCT_ID,LABEL_ID,INGREDIENT_NAME,INGREDIENT_NAME_NORMALIZED,POSITION,PERCENTAGE,IS_ACTIVE,IS_ALLERGEN,ALLERGEN_TYPE,SOURCE_IMAGE_URL,CREATED_AT
df233292-6593-4c29-a9b5-b12d3663f64b,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Jojoba Oil,jojoba oil,1,,True,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
8464884b-df88-4c49-994e-37c5ce8c5e0b,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Silica,silica,2,,True,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
c8095220-f514-4484-a1a1-1188a2cc5bc7,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Synthetic Wax,synthetic wax,3,,True,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
186d8ef1-e58c-478c-94b7-d8537116d2e0,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Caprylic/Capric Triglyceride,caprylic/capric triglyceride,4,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
53f9f25b-0231-42c3-8345-97ba7c95616c,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Mica,mica,5,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
544e3e19-dac5-4600-b5e1-2b021357d944,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Beeswax,beeswax,6,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
ae3fac84-1234-4720-b34e-bb20c0def916,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Ascorbyl Palmitate,ascorbyl palmitate,7,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
4b1f159b-7bed-49fb-8798-540e464653ac,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Tocopherol,tocopherol,8,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
cec73175-e2f4-4949-9db7-0d0b60b9aedd,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Vitamin E,vitamin e,9,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
59bdb157-d56c-4b53-b565-5d92ba41bcbc,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,Polyethylene,polyethylene,10,,False,False,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
