TRANSACTION_ID,STOCK_ID,TRANSACTION_TYPE,QUANTITY,QUANTITY_BEFORE,QUANTITY_AFTER,REFERENCE_TYPE,REFERENCE_ID,NOTES,CREATED_AT,CREATED_BY
36e3556e-3b23-42f8-af7d-9792bc94669b,33f29dc8-ae6e-4751-9048-4501d6981a25,reserved,19,18,-1,order,68a3aa63-35d7-4777-baef-b39fbf6b5835,,2025-11-22 18:47:59,system
fa3d0b0b-0269-4d2c-8b92-ec37b10e9fef,33f29dc8-ae6e-4751-9048-4501d6981a25,reserved,16,18,2,adjustment,e95db71e-ed26-4a78-bd4b-c5f97fb92b32,,2025-12-06 00:30:59,system
994ad00f-57e4-4340-abbf-ce030ae913fb,6bf50a38-e6bd-4f34-a006-f45337cf1e7b,received,13,0,13,order,d0aed2c0-0e8c-4973-81a7-6e186092be4e,,2025-12-06 23:14:59,system
cbb88f1f-797d-43a3-8bed-79af72f6ca79,6bf50a38-e6bd-4f34-a006-f45337cf1e7b,adjusted,3,0,3,adjustment,bf976f79-6302-4ab9-a920-1b687c092e0b,,2025-12-04 00:34:59,system
67509822-9282-415b-98f3-aa04032d85da,4e643c41-243d-44ab-b429-f8d756962d3e,reserved,4,13,9,adjustment,d0bbb3c5-ff58-4100-8ad3-ac9182f13d97,,2025-11-28 11:12:59,system
62e41b41-3aae-458a-b120-5ec142823e0a,4e643c41-243d-44ab-b429-f8d756962d3e,sold,18,13,-5,order,e235f9f2-0cde-4431-b1cb-d60001ccef0d,,2025-12-06 09:36:59,system
ec2ece15-31ec-4885-acfc-4d5828264527,4e643c41-243d-44ab-b429-f8d756962d3e,received,2,13,15,purchase_order,ceb9d05f-cac5-47c2-8c5a-6239523fe3da,,2025-12-19 12:08:59,system
579cdf06-0089-4112-be64-3cb43d8f95fb,4e643c41-243d-44ab-b429-f8d756962d3e,reserved,18,13,-5,purchase_order,0852881f-bbff-48b0-8cb7-dcda60145e47,,2025-12-06 05:45:59,system
567297b2-9fe0-4c14-b7ea-797f8569dee8,9e174ea6-d1be-460d-ab8e-99882394f7ac,adjusted,11,88,99,adjustment,a9592363-cdf0-4d42-9f74-fd883497b907,,2025-11-24 00:09:59,system
a4971edf-3f87-4afe-8300-c1bb347e372b,c4986688-7181-4fad-a8fd-2e2215b4f60e,received,19,45,64,order,9924c253-02bf-4b88-9c18-8ef8b671fca5,,2025-11-27 00:31:59,system
97f43177-0261-4cd6-a0a1-5ee2b58205aa,c4986688-7181-4fad-a8fd-2e2215b4f60e,received,1,45,46,order,7079badb-88e5-448c-8910-93785c29b32b,,2025-11-21 14:23:59,system
78ee662e-270c-4ed8-9966-69a83d8b5ac0,c4986688-7181-4fad-a8fd-2e2215b4f60e,received,20,45,65,purchase_order,bdcdb43b-1861-4c9e-bcc9-159e31be9b80,,2025-12-18 04:15:59,system
a0a9e274-f85a-4d14-9b8e-ce19530ed62b,5ace538a-d573-4cc3-b66d-88cd459c304e,sold,4,5,1,purchase_order,fa9d7ed1-a81f-4ceb-81a4-bd7b6a54ad20,,2025-12-12 02:01:59,system
18330e72-d3cf-4a7e-90fe-2959be6ad183,5ace538a-d573-4cc3-b66d-88cd459c304e,adjusted,20,5,25,adjustment,f4990ccd-d297-4942-a921-a348ef6c118f,,2025-12-14 05:08:59,system
df445449-c45c-4894-b64a-ab1bbe714647,5ace538a-d573-4cc3-b66d-88cd459c304e,received,17,5,22,adjustment,ba48ad05-bc37-4df8-8adf-3463d5cdda66,,2025-12-11 04:08:59,system
f524fde1-f8cc-4897-9029-63b39f91bafe,5ace538a-d573-4cc3-b66d-88cd459c304e,adjusted,2,5,7,order,ac060e2a-384b-480a-afa9-de80a3957706,,2025-11-19 04:48:59,system
725f3866-9c1c-4203-b7bf-c0842aef902c,5ace538a-d573-4cc3-b66d-88cd459c304e,received,11,5,16,adjustment,b3e5ce52-5cdd-44e7-821d-a7ce6affea15,,2025-11-25 04:53:59,system
699b0340-40bc-4ba5-a227-ff547e14bed0,54d63731-55a8-4ee3-b3e7-27df7b555661,adjusted,18,95,113,order,6c0c679a-1337-481c-9d7d-c31ba8d0c5da,,2025-12-17 20:02:59,system
a0e2f776-c773-4650-9358-780067042301,54d63731-55a8-4ee3-b3e7-27df7b555661,received,5,95,100,adjustment,3280a0b1-1945-4a43-8eb7-027ca2c87fd4,,2025-12-04 21:08:59,system
711c5165-b4e2-4683-90bc-68598a76798e,54d63731-55a8-4ee3-b3e7-27df7b555661,received,16,95,111,order,9038b8e1-9d05-4edb-9406-c07876a81362,,2025-12-13 15:48:59,system
5bed9b20-c930-496b-b898-207e9fad097d,54d63731-55a8-4ee3-b3e7-27df7b555661,reserved,7,95,88,adjustment,d20269ef-0aae-4021-a06d-0d244b82b7f6,,2025-12-07 23:54:59,system
dd7e9639-aa92-4d0d-a131-8c0d63326686,54d63731-55a8-4ee3-b3e7-27df7b555661,reserved,9,95,86,purchase_order,f7995e9a-a62e-40f2-aaef-4521c128d56b,,2025-12-09 21:17:59,system
f30d524d-e67e-49e8-8706-474b23877851,cfd3a070-363b-4ad9-8f8f-e4b25130b60a,sold,15,20,5,adjustment,c0d66ab3-a7f1-4f84-9002-599093ff23dd,,2025-12-03 15:50:59,system
4b6fb9f1-bc57-4294-a989-eb0f404469ba,cfd3a070-363b-4ad9-8f8f-e4b25130b60a,sold,14,20,6,purchase_order,8d3b7dd2-d4d0-48f9-be2d-71dbe910b50a,,2025-12-13 08:55:59,system
2f6065b4-0717-4afa-b93c-0ccae35fe7c1,cfd3a070-363b-4ad9-8f8f-e4b25130b60a,adjusted,6,20,26,order,9b2a797f-cbde-4120-8435-588bebcf0b65,,2025-11-19 08:09:59,system
f277440b-2b37-4c1d-96ae-e4c5c7e5a673,a6909c08-103f-4777-9351-b54377050fe1,adjusted,12,97,109,order,481620d3-fc49-4251-974e-bbd1892f6299,,2025-12-11 06:58:59,system
