WARNING_ID,PRODUCT_ID,LABEL_ID,WARNING_TYPE,WARNING_TEXT,SEVERITY,SOURCE_IMAGE_URL,CREATED_AT
9f80f3ef-a627-4614-97fe-22e4a78a1584,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,usage,Avoid contact with eyes,caution,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
62aa615f-7712-4d0d-980d-15a3790ee42a,77a744db-f2c9-465c-84a4-733b21b8da24,e1fecb7b-94d3-40f1-90d4-744198acd4db,safety,Do not use on broken or irritated skin,caution,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,2025-10-11 04:35:54
93121f9e-48c1-419b-b541-105aaa9af6e2,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,73defbb3-4a87-4f2d-9ae3-2f85f5ba01bc,safety,Do not use on broken or irritated skin,caution,@PRODUCTS.PRODUCT_MEDIA/labels/MAY-LIP-0002_luxury.png,2025-06-08 11:06:54
5343bba7-003d-47c9-8ec8-8f99a7468d1c,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,73defbb3-4a87-4f2d-9ae3-2f85f5ba01bc,allergy,May contain traces of nuts,warning,@PRODUCTS.PRODUCT_MEDIA/labels/MAY-LIP-0002_luxury.png,2025-06-08 11:06:54
1f44fdea-f013-427f-89a9-fa79f2eddea2,faf4d30d-559e-41ec-b67a-e5cd32069fbc,cdeea79c-522d-4dd8-9730-eaaab8b2c520,usage,For external use only,info,@PRODUCTS.PRODUCT_MEDIA/labels/CHA-LIP-0003_minimalist.png,2025-04-01 00:49:54
43786db8-db23-47d5-b0bb-32dc331ae185,faf4d30d-559e-41ec-b67a-e5cd32069fbc,cdeea79c-522d-4dd8-9730-eaaab8b2c520,allergy,May contain traces of nuts,warning,@PRODUCTS.PRODUCT_MEDIA/labels/CHA-LIP-0003_minimalist.png,2025-04-01 00:49:54
771f57a7-38d6-4048-841a-2f5e5cb67d89,f24faa8d-5b25-4088-97d3-7677b8963326,491e2d1d-3651-4548-9ba2-21c6d1e352ec,usage,For external use only,info,@PRODUCTS.PRODUCT_MEDIA/labels/MIL-LIP-0009_vertical.png,2025-02-01 21:17:54
5eaccd6c-594a-4bad-b694-385ae4829f3f,f24faa8d-5b25-4088-97d3-7677b8963326,491e2d1d-3651-4548-9ba2-21c6d1e352ec,allergy,Contains fragrance,info,@PRODUCTS.PRODUCT_MEDIA/labels/MIL-LIP-0009_vertical.png,2025-02-01 21:17:54
27f73025-c91b-4d86-83ef-4120bb970b87,cebac180-617e-429a-ae99-70b0f7315c2b,41dfd29b-123b-4225-b323-ed4ba28750e3,usage,For external use only,info,@PRODUCTS.PRODUCT_MEDIA/labels/DRU-LIP-0017_minimalist.png,2025-09-14 03:31:55
6e969863-c92f-4e2c-8cd0-542f55a7b0e6,cebac180-617e-429a-ae99-70b0f7315c2b,41dfd29b-123b-4225-b323-ed4ba28750e3,usage,Discontinue use if irritation occurs,warning,@PRODUCTS.PRODUCT_MEDIA/labels/DRU-LIP-0017_minimalist.png,2025-09-14 03:31:55
fcc59490-12c4-4c55-ab42-ea3fa7c63195,1a76a85d-57ee-4e7e-a513-bb97439a3363,79a104f4-2038-4bf6-b4ad-b32aaaf118fd,safety,Do not use on broken or irritated skin,caution,@PRODUCTS.PRODUCT_MEDIA/labels/HUD-LIP-0019_luxury.png,2025-08-13 05:31:55
445379f8-fbba-4a25-ad72-caae25895638,1a76a85d-57ee-4e7e-a513-bb97439a3363,79a104f4-2038-4bf6-b4ad-b32aaaf118fd,usage,For external use only,info,@PRODUCTS.PRODUCT_MEDIA/labels/HUD-LIP-0019_luxury.png,2025-08-13 05:31:55
4be0cc63-3653-465d-bb05-fc8bf59a6e71,e7198c49-02c4-4d28-a61d-f7167c44b493,f05d711f-25f1-438a-94fd-f03d16ed8215,usage,Discontinue use if irritation occurs,warning,@PRODUCTS.PRODUCT_MEDIA/labels/RAR-LIP-0025_tabular.png,2025-05-27 07:11:56
6fc18d6b-e6e5-43cb-aa61-58367a046ca0,e7198c49-02c4-4d28-a61d-f7167c44b493,f05d711f-25f1-438a-94fd-f03d16ed8215,storage,Keep out of reach of children,caution,@PRODUCTS.PRODUCT_MEDIA/labels/RAR-LIP-0025_tabular.png,2025-05-27 07:11:56
