TRANSACTION_ID,SESSION_ID,PAYMENT_METHOD_ID,AMOUNT_CENTS,CURRENCY,STATUS,PSP_NAME,PSP_TRANSACTION_ID,PSP_RESPONSE,FAILURE_CODE,FAILURE_MESSAGE,CREATED_AT,UPDATED_AT
00a99876-0570-4a12-95e4-1b212bf18381,04f3dc21-b40f-4518-9112-7dd02596c356,891fe9aa-9b7b-4bf3-960f-256b2603a5d0,12749,USD,captured,stripe,pi_532debbf-ccbf-4f03-b29d-,"{""status"": ""succeeded""}",,,2025-12-17 17:39:22,
014a164f-8935-4819-8715-b22dc37d0a40,56349b07-d3ae-4a08-8866-e131f56f8acf,b38f3b5a-07de-46f6-b5d4-e6e00673c37f,8630,USD,captured,stripe,pi_319e7868-b24d-4a4d-a0a2-,"{""status"": ""succeeded""}",,,2025-11-22 09:37:32,
021fac64-672e-4653-bc62-f1bc4a59abd9,030177a1-1938-4d47-860e-748b8f54e594,426a9b55-357c-439a-b5de-3fe452fa0ad7,30169,USD,captured,stripe,pi_afdc43bf-1bab-4982-820f-,"{""status"": ""succeeded""}",,,2025-11-26 05:43:42,
022a7d1e-aa33-4d41-8b86-27d96d3fca13,74f6da62-9e25-4c20-8b5b-128948791c6e,646a1adf-4e77-418c-adca-41fb95a59ea9,24887,USD,captured,stripe,pi_4c8dc476-b838-42f8-8910-,"{""status"": ""succeeded""}",,,2025-12-04 13:45:39,
0254ca33-6129-43e0-9819-9e93305503f1,1b870c27-b0cb-4e87-8e9e-6ea01f35e8af,bb1db910-92e9-49a8-8620-b5816f956d77,33806,USD,captured,stripe,pi_2a713146-ba31-4d0d-b058-,"{""status"": ""succeeded""}",,,2025-11-27 07:39:04,
02a5c1e7-27d7-4a7b-ad51-361a33880924,acd96217-0e38-4cc0-850b-e801a245095b,29bbae84-c2d1-4234-8be3-0390532d56b4,13947,USD,captured,stripe,pi_00dd57bf-299b-4d5c-bcb8-,"{""status"": ""succeeded""}",,,2025-11-19 20:45:32,
02af0734-ec01-4e61-92bb-bc3e0247480d,a3859cd4-15f8-472a-bd5a-ac4c074795b4,78e2958d-e65f-4542-a09b-d080ea5e8090,28058,USD,captured,stripe,pi_35cc0b94-a347-4778-93ab-,"{""status"": ""succeeded""}",,,2025-12-03 09:03:11,
034260ae-5d0b-4757-9d58-efa4972a2edd,097a71f9-e496-43b1-8b32-3e7e41125b8d,651694a4-b15a-45e3-a0aa-0720e892f31a,6493,USD,captured,stripe,pi_973ecc7d-beed-4bd0-ab76-,"{""status"": ""succeeded""}",,,2025-11-24 14:09:04,
03fb2aa1-859f-4ed9-b276-e37f512773c9,3db5e1dd-cd51-4b75-8336-ccb438d34811,a8745076-935a-4004-9877-e2d82784a963,51543,USD,captured,stripe,pi_1eb43ac1-0205-4441-ae44-,"{""status"": ""succeeded""}",,,2025-12-08 09:52:09,
0455cec3-d255-4893-b451-f5ac9ab811fc,7b0eb3b6-75fd-4c1c-bb0d-c52408e4f552,e48e11c0-2043-4e3a-82ea-ac2363566c38,37195,USD,captured,stripe,pi_78be91c7-35b1-41e2-85bb-,"{""status"": ""succeeded""}",,,2025-12-04 05:09:30,
046302a8-d427-493c-a943-e65b54b9b9ab,6e200e82-cfc1-4ae4-81c4-abf82d654640,fa674975-37dd-4d73-91f5-877a8568bf73,6264,USD,captured,stripe,pi_721568a6-e9a8-4b51-947a-,"{""status"": ""succeeded""}",,,2025-11-23 00:45:19,
04ac3daf-a1e0-4992-9d99-6211312826b4,6f3d4435-1135-4e7c-8ad6-cfb99489d501,e1597cda-c23f-4e44-bd42-d57a495a1e67,30456,USD,captured,stripe,pi_871ff53a-371f-4d9b-aeaf-,"{""status"": ""succeeded""}",,,2025-12-15 06:20:36,
04c3478f-35c6-4592-a1af-415f4278859b,9b804851-ee8b-4f9f-8255-de08726fd7ee,50ca3645-3c69-4d71-b909-f0f99a94aef5,4991,USD,captured,stripe,pi_41f9a0e8-7c5a-499d-a84e-,"{""status"": ""succeeded""}",,,2025-12-08 15:38:34,
06b01846-f938-4add-b637-8655d80f63de,08d7616e-e6ac-4aa8-9cf1-ec44c55d8606,c037da6b-9ddb-4f60-bf41-fdbdbaabd54b,3279,USD,captured,stripe,pi_4b62f578-d4ff-49c7-b3ff-,"{""status"": ""succeeded""}",,,2025-11-23 19:52:30,
06cd71ab-25c4-4cb7-bd0d-9eb79dc96726,68bd3b52-d8b8-4f94-b652-6ecb0f8a135b,d967501b-b558-4c5e-8664-db416315836f,17694,USD,captured,stripe,pi_7d38d166-4d05-4a8b-800f-,"{""status"": ""succeeded""}",,,2025-12-19 03:07:23,
06dcbca1-4ee8-4a20-908a-bea5dd13e4a0,96c3d74d-ded5-4140-a007-6e1f64dad67a,9a6dfc0b-cd4f-402e-b767-fd14b4e1d82a,6608,USD,captured,stripe,pi_dfd27260-aeac-4faa-8c58-,"{""status"": ""succeeded""}",,,2025-12-19 21:33:23,
07431ceb-149d-46b9-87c3-ba13ec211965,8c9ac5f6-532b-4d65-b157-42a1c6b76ef3,b0f6964e-472b-4f77-b09d-006d671bcef7,13185,USD,captured,stripe,pi_db38987b-0d3d-4c4a-9326-,"{""status"": ""succeeded""}",,,2025-12-17 01:10:24,
07581e3e-336e-4745-ae5f-f7ec9c3864b7,a490632a-486b-4e73-8a72-8c9aee053803,48fa35ff-f551-43bd-a22c-dd7d4dc68417,13021,USD,captured,stripe,pi_75f017fa-83cd-4257-8e97-,"{""status"": ""succeeded""}",,,2025-12-12 08:52:31,
07cf5bcb-00fb-47e6-9737-3b0b75f51727,a62e36aa-82bd-428a-a461-30d2919a7513,917995eb-00a4-403e-bfe2-c8ecd2088e8d,22106,USD,captured,stripe,pi_7bb6893a-d12a-4bab-bfe3-,"{""status"": ""succeeded""}",,,2025-12-13 11:52:07,
08372406-c80b-46e7-bcc3-e0a29603c5ec,82e09432-a277-419e-a527-5b57a6a25ed0,0db75d9f-66d7-4a5f-a061-e482162174a5,33746,USD,captured,stripe,pi_8da2b3bb-a3e6-4b90-ad45-,"{""status"": ""succeeded""}",,,2025-12-09 14:03:04,
085df2f2-e104-4f85-afe7-9cb2edc0676f,c71f9c7b-fb31-4573-8753-c037ed024191,c02b4346-da89-406f-933d-66e4994ba43e,21414,USD,captured,stripe,pi_4410f248-736e-4c44-8910-,"{""status"": ""succeeded""}",,,2025-11-25 13:24:16,
087b937d-fb20-4674-b729-d7a0184f6a35,e3feaf00-981c-4946-9ca6-96fab3182869,308e7810-f007-4cda-9a6e-2ddd0c7d69b8,15169,USD,captured,stripe,pi_e508d930-e926-4158-b9aa-,"{""status"": ""succeeded""}",,,2025-11-21 21:13:10,
088da32a-4a8d-410a-b59a-896896f470fb,69237de2-d97f-42b3-bc4f-917796c7334e,6739ac05-425d-45e0-b285-e116eb4da1fd,5232,USD,captured,stripe,pi_fe51e52c-b08d-4234-84ff-,"{""status"": ""succeeded""}",,,2025-11-30 13:05:31,
08a1e9d2-4a99-4294-b7d7-855f6218b866,793ac2dd-aa21-4d2b-a17d-ae36452bfbba,b6f278be-7008-4f4c-9f34-18c395d6187b,3459,USD,captured,stripe,pi_e4f965f4-ee73-449a-99de-,"{""status"": ""succeeded""}",,,2025-11-19 17:11:37,
09227bf3-0c11-4ac2-8087-2f593d14ffde,4df33c5b-cf3f-45c1-b98a-853dad7de268,18b4ff3b-57b3-4108-a999-e57038013881,11135,USD,captured,stripe,pi_904fa1c0-ade9-4966-8359-,"{""status"": ""succeeded""}",,,2025-11-28 20:49:34,
0957224d-dfb6-4ef8-8b3b-980fb51dff97,dbbbaf43-5051-421f-862b-11277ee60468,bd56ba72-bae7-4d8d-92e5-678fff7958cc,34794,USD,captured,stripe,pi_c6f28245-5aee-4ea9-a299-,"{""status"": ""succeeded""}",,,2025-12-09 21:26:32,
09db239f-49a8-407f-a583-edcc638c5b28,a217ca46-9049-41b0-b9f4-1def45707600,818d2d4a-e508-4a67-8487-c6b638d159e4,19549,USD,captured,stripe,pi_67cbc988-56d9-4303-b8cf-,"{""status"": ""succeeded""}",,,2025-12-15 01:06:02,
0a49f6d3-6495-4af6-a383-33ecb44d1da7,b650db8d-eed2-4e8b-b1e3-6e5fcdb32dce,aad37b61-0aaa-4c9e-8017-063b02303603,4988,USD,captured,stripe,pi_996f533c-747d-4b04-bc5f-,"{""status"": ""succeeded""}",,,2025-12-06 15:42:24,
0a943429-3ce8-486f-b90d-e6e5a939ce96,ea920cd3-b5e2-4009-a2fe-8e7f31b5a360,39b1f922-c525-4180-97f5-2758dd5ff42b,3095,USD,captured,stripe,pi_72d1dd7b-d413-4c1b-9897-,"{""status"": ""succeeded""}",,,2025-12-14 10:44:16,
0aa576bd-cca6-43c0-a7d6-1108ae026014,e8c319f5-6c9e-4c71-9109-9bb7b36bc01e,fc3b6a35-e6b5-420b-91ad-99c22874b15b,25127,USD,captured,stripe,pi_d554c9e3-dd03-4231-aa0f-,"{""status"": ""succeeded""}",,,2025-11-20 15:27:24,
0ae3fcf8-1f9f-4d2d-a0f8-ef783675acf7,61c4c41e-0cfc-4b84-8c15-4a254b6ca385,d3ae9610-b121-4de4-9808-475cd4ade183,32879,USD,captured,stripe,pi_adc6f7fa-2c9c-40d8-8fa9-,"{""status"": ""succeeded""}",,,2025-11-19 07:50:37,
0b059641-ac0c-4d65-ae97-49f37ca9b126,11a15b5f-d3a9-4f03-a4b7-93248038337a,59509ffd-e83e-42f2-b47c-a6de74e6975c,41421,USD,captured,stripe,pi_31f4940d-5f8d-457b-a02f-,"{""status"": ""succeeded""}",,,2025-12-02 11:51:02,
0b24b6a0-3b6f-474d-a531-6e03dbe3cd17,c6a3ab4b-9a3d-4ac9-bd57-c8cedb413b24,450d3e67-1187-4661-9f07-1d93760407a1,18898,USD,captured,stripe,pi_05fe5c47-d7fc-4fba-92db-,"{""status"": ""succeeded""}",,,2025-12-02 21:17:34,
